Score, Alerts, Flags, Time, Symbol, Expiration Date, Strike, Call/Put, Price, Trade Spread, Premium, Stock Last, Trade Size, Open Interest, Stock Cnt., Option Cnt., Implied Vol., Earnings Date
"5","DonkeyKong, Repeater_Bearish","Sweep","09:30:50 AM","TSLA","06/22/2026","395","Put","$2.27","Askish","$117.81k","$397.59","519","1,195","251","4","0",""
"5","DonkeyKong, Repeater_Bullish","Block Trade","09:30:50 AM","HSY","01/15/2027","210","Call","$4.26","At Ask","$293.84k","$170.44","690","1,367","4","2","29.99",""
"3","","Block Trade","09:30:55 AM","HELP","07/17/2026","5","Call","$0.50","At Bid","$237.02k","$4.93","4,740","282","1","1","105.46","Next 5 Days"
"4","Repeater_Bullish","Block Trade","09:30:56 AM","AMZN","08/21/2026","320","Call","$0.94","Askish","$96.86k","$240.69","1,029","42,863","97","2","43.1",""
"5","DonkeyKong, Repeater_Bullish","Block Trade","09:30:56 AM","SPCX","07/10/2026","200","Call","$6.80","At Ask","$2.02M","$175.63","2,967","0","133","4","124.52",""
"3","DonkeyKong, Repeater_Bullish","Block Trade","09:31:00 AM","NVDA","06/26/2026","220","Call","$1.20","At Mid","$65.17k","$211.63","543","27,987","264","3","48.25",""
"5","Repeater_Bullish","Sweep","09:31:02 AM","NVDA","06/26/2026","212.5","Call","$3.50","Askish","$218.4k","$211.36","624","7,476","264","7","48.3",""
"3","","Block Trade","09:31:03 AM","CRWV","06/26/2026","120","Call","$4.27","Bidish","$256.2k","$117.33","600","3,436","14","1","138.97",""
"3","","Sweep","09:31:05 AM","ETHA","06/26/2026","12","Put","$0.05","At Mid","$50k","$13.34","10,000","5,852","10","1","118.6",""
"4","DonkeyKong, Repeater_Bullish","Block Trade","09:31:09 AM","SPCX","07/10/2026","200","Call","$6.80","At Bid","$1.25M","$175.25","1,832","0","133","4","125.49",""
"5","DonkeyKong, Repeater_Bullish","Sweep","09:31:12 AM","NVDA","06/22/2026","215","Call","$0.40","At Bid","$52.52k","$211.32","1,313","5,354","264","28","0",""
"5","DonkeyKong, Repeater_Bullish","Block Trade","09:31:19 AM","BFLY","08/21/2026","10","Call","$1.15","Askish","$175.57k","$8.64","1,525","0","10","8","137.96",""
"5","DonkeyKong, Repeater_Bullish","Sweep","09:31:25 AM","TSLA","06/22/2026","400","Call","$2.66","At Bid","$205.62k","$398.12","773","3,485","251","5","0",""
"5","DonkeyKong, Repeater_Bearish","Block Trade","09:31:27 AM","IBIT","07/10/2026","34","Put","$0.40","At Bid","$113.68k","$36.92","2,842","2,328","133","2","64.34",""
"4","","Block Trade","09:31:28 AM","IBIT","07/10/2026","34","Put","$0.40","At Bid","$66.32k","$36.90","1,658","2,328","133","2","64.14",""
"5","","Block Trade","09:31:28 AM","BB","08/21/2026","12","Call","$0.48","At Ask","$106.08k","$8.72","2,210","3,776","13","1","90.37","Next 5 Days"
"4","","Sweep","09:31:33 AM","GOOGL","06/26/2026","355","Put","$5.20","Bidish","$807.04k","$357.21","1,552","1,424","196","1","20.97",""
"4","Repeater_Bearish","Block Trade","09:31:34 AM","TQQQ","06/26/2026","81.5","Put","$2.00","Askish","$200k","$84.23","1,000","1,222","14","2","117.63",""
"6","Repeater_Bearish","Sweep","09:31:36 AM","IBIT","06/30/2026","37","Put","$0.92","At Ask","$92.18k","$36.85","1,002","6,914","133","2","87.66",""
"5","DonkeyKong, Repeater_Bullish","Block Trade","09:31:38 AM","NVDA","06/26/2026","220","Call","$1.10","At Bid","$110.11k","$211.21","1,001","27,987","264","3","49.74",""
"6","DonkeyKong, Repeater_Bullish, AllTheThings","Sweep","09:31:39 AM","IBIT","07/17/2026","37.5","Call","$1.24","At Bid","$175.34k","$36.88","1,414","0","133","2","0",""
"3","","Block Trade","09:31:39 AM","IBIT","07/17/2026","37.5","Call","$1.24","At Bid","$65.97k","$36.88","532","0","133","2","0",""
"5","","Sweep","09:31:39 AM","BB","06/26/2026","10","Call","$0.33","At Ask","$60.46k","$8.73","1,832","8,632","13","1","170.95","Next 5 Days"
"4","Repeater_Bearish, Wave","Sweep","09:31:42 AM","MRNA","06/26/2026","60","Put","$1.37","Askish","$81.93k","$64.08","598","91","4","2","128.7",""
"5","DonkeyKong, Repeater_Bullish","Sweep","09:31:46 AM","NVDA","06/22/2026","212.5","Call","$0.88","At Mid","$497.11k","$211.08","5,649","6,697","264","32","0",""
"3","","Block Trade","09:31:51 AM","AMZN","08/21/2026","295","Call","$2.36","Askish","$128.84k","$241.64","546","29,823","97","1","41.32",""
"5","","Block Trade","09:32:01 AM","HSY","01/15/2027","210","Call","$4.00","At Ask","$219.2k","$170.20","548","1,367","4","2","30.14",""
"4","Repeater_Bullish","Sweep","09:32:01 AM","IBIT","07/02/2026","37","Call","$0.90","Below Bid","$72.18k","$36.85","802","952","133","2","28.52",""
"5","Repeater_Bullish","Sweep","09:32:03 AM","TSLA","06/22/2026","400","Call","$2.93","Bidish","$293k","$398.95","1,000","3,485","251","5","0",""
"6","DonkeyKong, Repeater_Bullish","Block Trade","09:32:03 AM","NVDA","06/22/2026","215","Call","$0.36","At Ask","$108.1k","$211.33","3,003","5,354","264","28","0",""
"6","DonkeyKong, Repeater_Bullish, AllTheThings","Sweep","09:32:05 AM","BFLY","08/21/2026","10","Call","$1.10","At Bid","$165k","$8.52","1,500","0","10","8","142.38",""
"5","DonkeyKong, Repeater_Bullish","Block Trade","09:32:05 AM","BFLY","08/21/2026","10","Call","$1.10","Below Bid","$126.94k","$8.52","1,154","0","10","8","142.38",""
"3","DonkeyKong, Repeater_Bearish","Block Trade","09:32:05 AM","HIMS","06/26/2026","33","Put","$1.03","Askish","$65.93k","$34.41","638","176","28","4","115.62",""
"3","","Block Trade","09:32:06 AM","PLTR","09/18/2026","60","Put","$0.24","Bidish","$69.84k","$126.30","2,910","3,098","40","1","76.37",""
"5","DonkeyKong, Repeater_Bullish","Sweep","09:32:06 AM","AAPL","06/22/2026","302.5","Call","$0.52","At Mid","$324.27k","$300.01","6,236","1,021","54","7","0",""
"6","DonkeyKong, Repeater_Bullish","Sweep","09:32:06 AM","NVDA","06/22/2026","215","Call","$0.36","At Bid","$110.41k","$211.29","3,067","5,354","264","28","0",""
"4","Repeater_Bullish","Sweep","09:32:08 AM","AAPL","06/22/2026","300","Call","$1.43","Bidish","$1.01M","$300.00","7,096","4,413","54","5","0",""
"3","DonkeyKong, Repeater_Bearish","Block Trade","09:32:08 AM","HIMS","06/26/2026","33","Put","$1.07","Askish","$78.09k","$34.37","732","176","28","4","114.24",""
"3","DonkeyKong, Repeater_Bearish","Block Trade","09:32:10 AM","KEEL","11/20/2026","5.5","Put","$1.12","Askish","$97.42k","$7.04","867","12,228","29","3","138.33",""
"4","DonkeyKong, Repeater_Bullish","Block Trade","09:32:10 AM","KEEL","11/20/2026","9","Call","$1.54","Bidish","$133.23k","$7.04","867","1,034","29","3","99.91",""
